时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:18.986Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.1748,0.0898,0.9727,-2.01,-0.85,0.18,4.82,-10.04,-34.71,0.951355,0.012115,-0.092102,-0.293549
"2025-04-18T08:39:19.428Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.1313,0.4834,1.2441,58.78,164.43,-216.80,4.78,0.85,47.60,-0.950104,-0.012238,-0.032196,-0.309906
"2025-04-18T08:39:19.595Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",-0.2983,0.2949,0.9053,-100.22,106.75,-186.77,4.73,-2.22,27.65,0.974976,0.038727,-0.002625,0.218658
"2025-04-18T08:39:19.810Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-1.6465,-0.1216,0.4824,215.76,35.95,211.06,-106.77,45.24,-73.37,-0.625916,0.457123,-0.626556,0.081299
"2025-04-18T08:39:19.595Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",1.3047,-1.3945,1.0176,81.18,202.15,79.28,-10.56,2.35,-90.64,0.721588,-0.040558,0.091736,-0.684937
"2025-04-18T08:39:19.958Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-1.0454,-0.9063,0.9189,41.69,-632.20,1436.95,4.94,6.15,-60.48,0.944855,0.100525,0.002380,-0.311493
"2025-04-18T08:39:20.417Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.1772,0.1079,0.9980,-3.11,6.23,-0.49,5.56,-10.11,-36.54,0.947021,0.017365,-0.097015,-0.305542
"2025-04-18T08:39:20.694Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0757,0.3228,0.9487,46.94,-5.19,148.56,-0.35,-9.23,129.05,-0.363770,-0.116516,0.031952,-0.923553
"2025-04-18T08:39:20.903Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.0327,-0.6494,0.8530,104.55,18.74,-434.57,-7.20,7.03,-77.01,0.769531,-0.069733,0.049408,-0.632782
"2025-04-18T08:39:21.074Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.2783,-0.1250,1.0781,-216.86,67.32,-69.58,-14.54,6.85,-142.25,-0.353882,-0.011414,-0.109772,0.928711
"2025-04-18T08:39:21.243Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.8726,-0.4707,-0.6777,135.50,121.64,79.10,-91.24,47.54,-127.41,-0.541779,0.036957,-0.711273,0.446167
"2025-04-18T08:39:20.905Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.0034,0.0098,0.9160,31.37,109.44,-88.26,15.31,-6.75,-53.35,0.858459,0.103943,-0.086639,-0.494598
"2025-04-18T08:39:21.707Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.1963,0.1274,0.9858,1.83,0.73,-3.05,7.21,-11.44,-34.75,0.950012,0.028900,-0.112640,-0.289551
"2025-04-18T08:39:21.992Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6099,-1.0308,0.3398,83.01,120.73,70.31,-96.11,41.40,-122.79,-0.530121,0.125671,-0.723938,0.423035
"2025-04-18T08:39:21.991Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-0.4170,0.6060,0.8403,64.58,-406.80,-550.48,11.40,-3.22,-100.38,0.551727,0.056274,-0.085144,-0.827698
"2025-04-18T08:39:21.991Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.4673,-1.1616,1.0239,25.02,-34.91,32.04,2.40,-10.37,-54.25,-0.925385,0.049530,0.096893,0.362885
"2025-04-18T08:39:21.988Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.1362,0.1929,1.0332,86.43,27.53,-364.93,-10.17,8.41,-19.92,0.906342,-0.043457,0.001129,-0.420197
"2025-04-18T08:39:22.731Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.2295,0.3853,0.8711,63.29,-101.44,-173.46,-8.93,9.28,-86.80,-0.594238,-0.069183,-0.081024,0.797150
"2025-04-18T08:39:23.040Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.1943,0.1348,1.0029,2.50,-5.55,10.99,7.45,-11.24,-33.18,0.954773,0.032318,-0.111298,-0.273590
"2025-04-18T08:39:23.351Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.0620,0.5542,1.0117,18.98,-8.79,150.15,-2.42,3.91,-34.22,0.975800,-0.030945,0.047516,-0.210999
"2025-04-18T08:39:23.557Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.0239,-1.5811,1.1191,18.13,-67.38,-55.42,-101.60,38.73,-120.66,-0.518372,0.179749,-0.738983,0.390869
"2025-04-18T08:39:23.350Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.5532,-0.4341,1.3257,151.25,232.91,-47.36,7.44,3.57,-96.00,-0.687317,-0.016113,0.014587,0.725952
"2025-04-18T08:39:23.953Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.7866,1.4463,1.1494,-31.01,-17.21,9.77,-5.92,5.79,-78.75,-0.772614,0.007843,-0.071716,0.630676
"2025-04-18T08:39:23.352Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-1.1074,0.1909,0.9336,-112.30,53.53,287.84,-0.81,5.82,165.88,0.030945,0.081665,-0.030548,-0.995667
"2025-04-18T08:39:24.521Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.2500,0.1504,0.9780,-5.49,3.78,6.29,8.78,-14.16,-29.70,0.959351,0.040649,-0.137238,-0.243011
"2025-04-18T08:39:24.875Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-0.1421,0.8750,1.0229,-100.95,-66.28,-424.26,0.85,-9.43,10.73,-0.997101,-0.041046,0.063477,-0.000854
"2025-04-18T08:39:24.874Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",-1.6104,-0.3774,0.6411,-38.21,-69.82,-52.73,1.79,4.78,-23.04,0.986847,-0.026825,0.069855,-0.142975
"2025-04-18T08:39:24.877Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",-1.0332,-0.1445,0.5654,-111.08,78.06,457.03,-2.25,7.34,-61.30,-0.823853,-0.049011,-0.117737,0.552155
"2025-04-18T08:39:25.454Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.7056,-0.7290,-0.4736,-109.74,-87.71,-4.33,-82.56,54.79,-136.24,-0.530334,-0.102570,-0.672424,0.505920
